age,height_cm,weight_kg,overall,potential,value,wage_eur,international_reputation,weak_foot,skill_moves,position,team_jersey_number,pace,shooting,passing,dribbling,defending,physic,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
32,170,72,94,94,95500000,565000,5,4,4,RW,10,87,92,92,96,39,66,,,,,,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8
34,187,83,93,93,58500000,405000,5,4,5,LW,7,90,93,82,89,35,78,,,,,,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11
26,188,87,91,93,77500000,125000,3,3,1,GK,13,,,,,,,87,92,78,89,90,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89
28,175,74,91,91,90000000,470000,4,4,4,LW,7,91,83,86,94,35,66,,,,,,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8
28,181,70,91,91,90000000,370000,4,5,4,RCM,17,76,86,92,86,61,78,,,,,,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13
27,187,85,90,93,67500000,250000,3,4,1,GK,1,,,,,,,88,85,88,90,88,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90
27,193,92,90,91,78000000,200000,3,3,2,LCB,4,77,60,70,71,90,86,,,,,,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11
33,172,66,90,90,45000000,340000,4,4,4,RCM,10,74,76,89,89,72,66,,,,,,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9
27,175,71,90,90,80500000,240000,3,3,4,RW,11,93,86,81,89,45,74,,,,,,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,14,14,9,11,14
20,178,73,89,95,93500000,155000,3,4,5,RW,7,96,84,78,90,39,75,,,,,,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6
28,187,89,89,91,67500000,150000,3,3,2,LCB,26,71,28,54,67,89,87,,,,,,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5
25,188,89,89,91,83000000,220000,3,4,3,ST,10,70,91,79,81,47,83,,,,,,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11
26,191,91,89,91,58000000,155000,3,3,1,GK,1,,,,,,,85,84,85,89,90,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89
28,192,82,89,90,56000000,205000,4,3,1,GK,1,,,,,,,90,84,81,92,85,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13,90,84,81,85,92
